X,loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,rate
18967,2000,2000, 36 months,7.29%,62.02,A,A4,,MORTGAGE,60000,Not Verified,Feb-11,Fully Paid,n,"  Borrower added on 02/25/11 > I have been a private piano teacher for 18 years, and it has been my dream to run summer piano camps like the ones I attended when I was a student. This year I will make it a reality. I've drawn up course descriptions, found a space to rent, ensured that I can get liability insurance. There has already been a buzz among my students and their parents about how much fun this camp will be.<br/><br/>My space rental at a local church needs to paid 50% now and 50% in July. I am asking for this loan to pay the space rental fees and some initial supplies and advertising fees. <br/><br/>There are three separate courses the children can enroll in, based on their age and experience. In order to break even, I need to recruit a total of 20 children for the two camps for younger kids and 6 children for the camp for older kids. I have a studio of 25 students I teach weekly, plus I have a waiting list. I am a popular teacher -- last year I had only 2 students discontinue lessons. The previous year I had 0 students discontinue lessons. I receive calls and emails monthly asking for new students. Because of this, I don't feel that with the proper advertising that I'll have any trouble filling my camp spaces.<br/><br/>I've priced the camps at a reasonable rate for the area I live in, and I've taken into account expenses including insurance, supplies, fees to hire an assistant teacher, my own salary, and taxes. <br/><br/>In addition to my full-time job teaching piano, I work part-time as a computer programmer for a company that works on government contracts.<br/>",small_business,Piano Camp Funding,220xx,VA,20.38,0.0729
755216,16300,16300, 36 months,20.49%,609.85,E,E4,Assistant Directoe,RENT,41000,Source Verified,May-15,Fully Paid,n,,other,Other,134xx,NY,29.77,0.2049
192428,8200,8200, 36 months,18.75%,299.55,D,D3,POOLCORP,RENT,42500,Not Verified,Oct-12,Fully Paid,n,  Borrower added on 10/09/12 > This load is for the single purpose of debt consolidation.<br>,debt_consolidation,Debt consolidation,704xx,LA,7.52,0.1875
351496,10000,10000, 36 months,13.98%,341.68,C,C3,REGISTERED NURSE,RENT,42000,Not Verified,Jul-14,Fully Paid,n,,debt_consolidation,Debt consolidation,917xx,CA,5.31,0.1398
602153,6000,6000, 36 months,10.99%,196.41,B,B4,Sr. Production Manager,MORTGAGE,63597,Verified,Sep-15,Fully Paid,n,,home_improvement,Home improvement,130xx,NY,30.8,0.1099
377837,5000,5000, 36 months,10.99%,163.67,B,B3,technician,RENT,67000,Source Verified,Jun-14,Fully Paid,n,,debt_consolidation,Debt consolidation,104xx,NY,15.89,0.1099
1479766,32000,32000, 60 months,19.03%,830.63,D,D3,SANITATION,RENT,105000,Source Verified,May-17,Current,n,,credit_card,Credit card refinancing,112xx,NY,18.74,0.1903
1726865,2500,2500, 36 months,15.05%,86.73,C,C4,Server,RENT,40000,Not Verified,Oct-17,Current,n,,debt_consolidation,Debt consolidation,381xx,TN,34.26,0.1505
1426542,5000,5000, 36 months,7.97%,156.62,A,A5,Sole Proprietor,RENT,24000,Source Verified,Jun-17,Current,n,,credit_card,Credit card refinancing,840xx,UT,7.75,0.0797
622222,27000,27000, 36 months,13.99%,922.67,C,C4,ass. manager,RENT,63000,Verified,Sep-15,Charged Off,n,,debt_consolidation,Debt consolidation,068xx,CT,27.67,0.1399
1276928,8000,8000, 36 months,7.24%,247.9,A,A3,Senior Finance Mangager,OWN,225000,Verified,Nov-16,Current,n,,other,Other,231xx,VA,7.7,0.0724
1378488,16000,16000, 36 months,5.32%,481.84,A,A1,ATSS,MORTGAGE,1.00E+05,Not Verified,Feb-17,Fully Paid,n,,debt_consolidation,Debt consolidation,727xx,AR,9.65,0.0532
42856,3000,3000, 36 months,7.90%,93.88,A,A4,"Senior Director, Organizational Effectiv",MORTGAGE,114000,Not Verified,Dec-13,Fully Paid,n,,home_improvement,Home Improvements ,853xx,AZ,13.29,0.079
393556,2500,2500, 36 months,6.03%,76.09,A,A1,Billing Clerk,RENT,40000,Not Verified,May-14,Fully Paid,n,,credit_card,Credit card refinancing,185xx,PA,19.54,0.0603
1979495,12500,12500, 36 months,6.71%,384.31,A,A3,Administrative Assistant,RENT,36000,Not Verified,Apr-18,Current,n,,debt_consolidation,Debt consolidation,958xx,CA,11.57,0.0671
391671,2800,2800, 36 months,16.29%,98.85,D,D2,Flight Attendant,MORTGAGE,50000,Verified,May-14,Fully Paid,n,,other,Other,891xx,NV,9.6,0.1629
1499086,16975,16975, 60 months,12.74%,383.98,C,C1,Manufacturing Engineer,MORTGAGE,80000,Not Verified,Apr-17,Current,n,,credit_card,Credit card refinancing,490xx,MI,20.21,0.1274
354029,25000,25000, 60 months,20.20%,665.14,E,E3,rn,MORTGAGE,80000,Source Verified,Jul-14,Current,n,,debt_consolidation,Debt consolidation,285xx,NC,18.5,0.202
2017841,14000,14000, 60 months,8.46%,286.97,A,A5,Accounting Technician ,OWN,45276,Source Verified,Sep-18,Current,n,,debt_consolidation,Debt consolidation,932xx,CA,24.3,0.0846
1918855,35000,35000, 36 months,13.06%,1180.31,C,C1,VP,RENT,2.00E+05,Not Verified,May-18,Current,n,,credit_card,Credit card refinancing,606xx,IL,22.87,0.1306
947944,34000,34000, 36 months,8.39%,1071.57,B,B1,Director of Government Affairs,MORTGAGE,79000,Source Verified,Mar-16,Fully Paid,n,,credit_card,Credit card refinancing,207xx,MD,25.16,0.0839
1760640,31875,31875, 36 months,7.35%,989.32,A,A4,Driver,MORTGAGE,78000,Source Verified,Oct-17,Current,n,,debt_consolidation,Debt consolidation,488xx,MI,17.06,0.0735
1211768,27475,27475, 36 months,13.99%,938.9,C,C3,"Executive Director, CNCF",RENT,325000,Verified,Jul-16,Current,n,,credit_card,Credit card refinancing,102xx,NY,19.59,0.1399
881388,14125,14125, 36 months,15.59%,493.74,D,D1,sales,RENT,60000,Not Verified,Jan-15,Charged Off,n,,debt_consolidation,Debt consolidation,741xx,OK,25.68,0.1559
827678,18400,18400, 36 months,6.39%,563.03,A,A2,Director of Special Services,MORTGAGE,115000,Source Verified,Feb-15,Fully Paid,n,,debt_consolidation,Debt consolidation,975xx,OR,24.31,0.0639
1933376,10000,10000, 36 months,18.45%,363.79,D,D2,,MORTGAGE,60000,Source Verified,May-18,Current,n,,debt_consolidation,Debt consolidation,292xx,SC,8.34,0.1845
1642515,28000,28000, 60 months,26.30%,843.32,E,E5,,OWN,91000,Source Verified,Jul-17,Current,n,,debt_consolidation,Debt consolidation,312xx,GA,29.45,0.263
1274641,24000,24000, 60 months,12.74%,542.89,C,C1,Plant Engineer,OWN,75000,Source Verified,Nov-16,Current,n,,debt_consolidation,Debt consolidation,809xx,CO,9.65,0.1274
1835574,9600,9600, 36 months,9.93%,309.45,B,B2,Sales Representative,MORTGAGE,80000,Not Verified,Feb-18,Current,n,,debt_consolidation,Debt consolidation,550xx,MN,17.63,0.0993
489134,8000,8000, 36 months,10.64%,260.55,B,B4,Director of mail and print services,RENT,42000,Source Verified,Dec-15,Charged Off,n,,home_improvement,Home improvement,287xx,NC,30.51,0.1064
391041,7000,7000, 36 months,11.67%,231.4,B,B4,Physical Security Specialist,RENT,97333,Verified,May-14,Fully Paid,n,,car,Car financing,207xx,MD,8.11,0.1167
975042,28000,28000, 36 months,13.67%,952.5,C,C3,Analyst,MORTGAGE,125000,Not Verified,Feb-16,Fully Paid,n,,debt_consolidation,Debt consolidation,275xx,NC,7.23,0.1367
68812,20000,20000, 60 months,20.20%,532.11,D,D5,Officer,RENT,92400,Source Verified,Nov-13,Charged Off,n,,car,Car financing,967xx,HI,11.39,0.202
110310,35000,35000, 36 months,20.31%,1306.27,D,D5,Data Systems Analyst Inc,MORTGAGE,115000,Verified,Aug-13,Fully Paid,n,,debt_consolidation,Consolidation,197xx,DE,22.19,0.2031
1502021,20000,20000, 60 months,14.99%,475.7,C,C4,mechanic,MORTGAGE,70000,Not Verified,Apr-17,Charged Off,n,,debt_consolidation,Debt consolidation,468xx,IN,24.53,0.1499
2062386,10000,10000, 36 months,17.97%,361.38,D,D1,Assistant Kitchen Manager,RENT,57600,Source Verified,Aug-18,Fully Paid,n,,debt_consolidation,Debt consolidation,346xx,FL,17.79,0.1797
1734922,24300,24300, 36 months,7.07%,751.1,A,A2,Systems Engineer,RENT,140000,Verified,Oct-17,Current,n,,other,Other,913xx,CA,1.98,0.0707
762689,19200,19200, 60 months,14.65%,453.25,C,C5,Project Manager ,MORTGAGE,80000,Source Verified,May-15,In Grace Period,n,,debt_consolidation,Debt consolidation,070xx,NJ,23.17,0.1465
591081,8000,8000, 36 months,9.99%,258.1,B,B3,RN,MORTGAGE,107000,Source Verified,Oct-15,Fully Paid,n,,home_improvement,Home improvement,120xx,NY,19.99,0.0999
1632222,20000,20000, 36 months,30.17%,850.9,F,F3,Owner,OWN,64000,Verified,Jul-17,Current,n,,other,Other,321xx,FL,20.23,0.3017
1187253,10400,10400, 36 months,7.59%,323.94,A,A3,Bid Blade Hand,MORTGAGE,75000,Not Verified,Jul-16,Fully Paid,n,,home_improvement,Home improvement,827xx,WY,17.6,0.0759
1248307,5000,4950, 36 months,11.39%,164.62,B,B3,College Assistant ,RENT,18430,Source Verified,Dec-16,Current,n,,credit_card,Credit card refinancing,917xx,CA,27.82,0.1139
417452,12000,12000, 36 months,6.03%,365.23,A,A1,VP Marketing,MORTGAGE,180000,Not Verified,Apr-14,Fully Paid,n,,credit_card,Credit card refinancing,800xx,CO,9.62,0.0603
1972715,9600,9600, 36 months,9.92%,309.41,B,B2,Door Greeter,RENT,32000,Source Verified,Apr-18,Current,n,,debt_consolidation,Debt consolidation,794xx,TX,13.73,0.0992
385339,12000,12000, 36 months,15.61%,419.58,D,D1,Phlebotomist,MORTGAGE,58000,Not Verified,May-14,Fully Paid,n,,debt_consolidation,Debt consolidation,487xx,MI,17.09,0.1561
1010752,16000,16000, 60 months,11.48%,351.73,B,B5,Registered Nurse,RENT,71886,Not Verified,Jan-16,Fully Paid,n,,debt_consolidation,Debt consolidation,238xx,VA,30.8,0.1148
344880,13925,13925, 36 months,10.15%,450.31,B,B2,spinner,MORTGAGE,31000,Not Verified,Jul-14,Fully Paid,n,,credit_card,Credit card refinancing,284xx,NC,12.2,0.1015
1021704,24000,24000, 60 months,15.59%,578.42,C,C5,Miner I,MORTGAGE,110000,Verified,Jun-16,Fully Paid,n,,credit_card,Credit card refinancing,594xx,MT,18.16,0.1559
873937,20000,20000, 36 months,15.59%,699.1,D,D1,Contract Software Engineer,RENT,85000,Source Verified,Jan-15,Fully Paid,n,,debt_consolidation,Debt consolidation,329xx,FL,6.16,0.1559
1938503,3000,3000, 36 months,6.83%,92.4,A,A3,Logistic Dpto,MORTGAGE,60000,Source Verified,May-18,Current,n,,other,Other,331xx,FL,9.54,0.0683
667139,12000,12000, 36 months,7.89%,375.43,A,A5,engineer,MORTGAGE,72500,Source Verified,Jul-15,Fully Paid,n,,credit_card,Credit card refinancing,761xx,TX,11.32,0.0789
1253437,5500,5500, 36 months,8.24%,172.96,B,B1,Customer sevice lead,RENT,55000,Source Verified,Dec-16,Fully Paid,n,,debt_consolidation,Debt consolidation,271xx,NC,12.5,0.0824
1098025,35000,35000, 36 months,16.29%,1235.52,D,D1,IRON WORKER/WELDER,RENT,110000,Source Verified,Apr-16,Charged Off,n,,debt_consolidation,Debt consolidation,104xx,NY,16.45,0.1629
430662,23225,23225, 60 months,17.57%,584.35,D,D2,Sales Supervisor,MORTGAGE,53000,Source Verified,Mar-14,Current,n,,debt_consolidation,Debt consolidation,534xx,WI,17.71,0.1757
1311795,3025,3025, 36 months,10.99%,99.03,B,B4,Business Manager,OWN,60000,Source Verified,Oct-16,Late (31-120 days),n,,home_improvement,Home improvement,300xx,GA,10.57,0.1099
2065747,20000,20000, 36 months,16.14%,704.53,C,C4,Mortgage closer,RENT,45000,Source Verified,Aug-18,Current,n,,debt_consolidation,Debt consolidation,596xx,MT,25.06,0.1614
830011,26000,26000, 60 months,9.99%,552.3,B,B3,Database Administrator - Sr,MORTGAGE,121000,Source Verified,Feb-15,Fully Paid,n,,debt_consolidation,Debt consolidation,553xx,MN,15.26,0.0999
341152,8000,8000, 36 months,8.39%,252.14,A,A5,Specialty Sales Manager,RENT,44000,Not Verified,Jul-14,Fully Paid,n,,credit_card,Credit card refinancing,338xx,FL,13.54,0.0839
720257,7225,7225, 36 months,19.99%,268.48,E,E4,Payroll Clerk,RENT,43200,Not Verified,Jun-15,Fully Paid,n,,debt_consolidation,Debt consolidation,100xx,NY,3.5,0.1999
280472,20000,20000, 60 months,12.99%,454.96,C,C1,supervisor,MORTGAGE,47000,Source Verified,Oct-14,Fully Paid,n,,credit_card,Credit card refinancing,458xx,OH,27.48,0.1299
2030307,3500,3500, 36 months,20.89%,131.67,D,D4,Barista,MORTGAGE,45500,Not Verified,Sep-18,Current,n,,debt_consolidation,Debt consolidation,105xx,NY,6.7,0.2089
540119,9000,9000, 36 months,7.89%,281.58,A,A5,Vice President,MORTGAGE,120000,Source Verified,Nov-15,Fully Paid,n,,credit_card,Credit card refinancing,201xx,VA,17.23,0.0789
1889338,40000,40000, 36 months,12.13%,1331.06,B,B5,"Assistant Director, Systems Protection",MORTGAGE,172000,Verified,Jun-18,Current,n,,debt_consolidation,Debt consolidation,356xx,AL,21.02,0.1213
1691568,8000,8000, 36 months,14.08%,273.74,C,C3,Senior Tax Accountant,RENT,45000,Not Verified,Nov-17,Current,n,,debt_consolidation,Debt consolidation,951xx,CA,14.24,0.1408
989950,2200,2200, 36 months,12.88%,74,C,C2,Resident Physician,MORTGAGE,48000,Verified,Jan-16,Fully Paid,n,,medical,Medical expenses,337xx,FL,26.83,0.1288
2026023,10000,10000, 36 months,10.47%,324.89,B,B2,Lead ,MORTGAGE,48000,Source Verified,Sep-18,Current,n,,debt_consolidation,Debt consolidation,605xx,IL,20.13,0.1047
2007329,40000,40000, 36 months,6.11%,1218.88,A,A1,President,MORTGAGE,110000,Source Verified,Sep-18,Current,n,,credit_card,Credit card refinancing,331xx,FL,13.9,0.0611
1817296,12000,12000, 36 months,16.02%,422.01,C,C5,Server,RENT,32000,Source Verified,Feb-18,Current,n,,credit_card,Credit card refinancing,982xx,WA,24.72,0.1602
1233781,17000,17000, 36 months,8.24%,534.61,B,B1,Realtor/Landlord,OWN,95000,Not Verified,Dec-16,Current,n,,credit_card,Credit card refinancing,462xx,IN,10.9,0.0824
958212,5175,5175, 36 months,21.18%,195.45,E,E3,carpenter,RENT,36000,Verified,Feb-16,Charged Off,n,,debt_consolidation,Debt consolidation,221xx,VA,30.37,0.2118
1426144,40000,40000, 60 months,10.42%,858.18,B,B3,Maintenance Technician,MORTGAGE,55000,Verified,Jun-17,Current,n,,debt_consolidation,Debt consolidation,295xx,SC,18.35,0.1042
964469,10800,10800, 60 months,14.46%,253.89,C,C4,Locomotive Overhaul Manager,RENT,80000,Verified,Feb-16,Fully Paid,n,,car,Car financing,531xx,WI,22.13,0.1446
290041,8500,8500, 36 months,7.12%,262.93,A,A3,Operation Mgr. Sr Construction Mgr.,MORTGAGE,140000,Not Verified,Oct-14,Fully Paid,n,,major_purchase,Major purchase,925xx,CA,25.72,0.0712
1823659,10000,10000, 36 months,7.35%,310.38,A,A4,Internal Auditor,RENT,75000,Not Verified,Feb-18,Fully Paid,n,,debt_consolidation,Debt consolidation,914xx,CA,7.97,0.0735
1685158,16000,16000, 60 months,17.09%,398.42,D,D1,Chemical Engineer,MORTGAGE,80000,Not Verified,Nov-17,Current,n,,credit_card,Credit card refinancing,435xx,OH,34.8,0.1709
1462924,5000,5000, 36 months,12.62%,167.56,C,C1,Client services representative,RENT,52000,Source Verified,May-17,Fully Paid,n,,debt_consolidation,Debt consolidation,071xx,NJ,26.01,0.1262
1974496,6000,6000, 36 months,5.31%,180.67,A,A1,Student Development Assistant,RENT,32684,Not Verified,Apr-18,Current,n,,debt_consolidation,Debt consolidation,787xx,TX,7.34,0.0531
1482322,18000,18000, 60 months,15.99%,437.63,C,C5,Instructor,RENT,22000,Not Verified,May-17,Current,n,,debt_consolidation,Debt consolidation,980xx,WA,30.71,0.1599
1204054,15000,15000, 36 months,10.49%,487.47,B,B3,,MORTGAGE,190000,Not Verified,Jul-16,Fully Paid,n,,credit_card,Credit card refinancing,131xx,NY,25.81,0.1049
1503687,8000,8000, 36 months,15.99%,281.22,C,C5,Telecommunications Maintainer II,MORTGAGE,86000,Verified,Apr-17,Fully Paid,n,,debt_consolidation,Debt consolidation,731xx,OK,19.47,0.1599
1151995,35000,35000, 36 months,18.99%,1282.79,D,D3,"VP, IT Project Management",MORTGAGE,253000,Verified,Aug-16,Current,n,,credit_card,Credit card refinancing,303xx,GA,18.13,0.1899
997075,12000,12000, 36 months,16.59%,425.39,D,D2,Sr. Resolution Manager ,MORTGAGE,68000,Source Verified,Jan-16,Charged Off,n,,debt_consolidation,Debt consolidation,282xx,NC,7.37,0.1659
958652,24000,24000, 60 months,8.39%,491.13,B,B1,Engineering Tech,MORTGAGE,130000,Not Verified,Feb-16,Fully Paid,n,,debt_consolidation,Debt consolidation,761xx,TX,22.3,0.0839
1601735,35000,35000, 60 months,13.59%,806.97,C,C2,Property master ,OWN,120000,Verified,Aug-17,Current,n,,major_purchase,Major purchase,124xx,NY,9.17,0.1359
863002,35000,35000, 36 months,12.39%,1169.04,C,C1,EVP Creative Marketing,MORTGAGE,2.00E+05,Source Verified,Jan-15,Fully Paid,n,,credit_card,Credit card refinancing,900xx,CA,7.78,0.1239
1875057,19000,19000, 36 months,5.31%,572.1,A,A1,Circuit Court Clerk,MORTGAGE,95000,Not Verified,Jun-18,Current,n,,debt_consolidation,Debt consolidation,373xx,TN,12.8,0.0531
1610955,6000,6000, 36 months,5.32%,180.69,A,A1,Consultant,RENT,80000,Not Verified,Jul-17,Current,n,,debt_consolidation,Debt consolidation,229xx,VA,19.1,0.0532
257231,28000,28000, 60 months,14.99%,665.98,C,C5,Account Executive,MORTGAGE,185000,Verified,Nov-14,Current,n,,debt_consolidation,Debt consolidation,080xx,NJ,9.13,0.1499
1060660,10000,10000, 60 months,9.16%,208.37,B,B2,Corrections Officer,MORTGAGE,72000,Source Verified,May-16,Current,n,,debt_consolidation,,486xx,MI,27.55,0.0916
734559,25000,25000, 60 months,9.99%,531.06,B,B3,Superintendent,MORTGAGE,85000,Verified,Jun-15,Current,n,,debt_consolidation,Debt consolidation,322xx,FL,9.16,0.0999
2118689,2000,2000, 36 months,7.84%,62.53,A,A4,Checker,OWN,76467,Not Verified,Jul-18,Fully Paid,n,,home_improvement,Home improvement,481xx,MI,1.68,0.0784
876340,3600,3600, 36 months,12.39%,120.25,C,C1,Assistant Principal,MORTGAGE,75000,Not Verified,Jan-15,Charged Off,n,,debt_consolidation,Debt consolidation,280xx,NC,15.86,0.1239
923747,2000,2000, 36 months,13.67%,68.04,C,C3,Maintenance supervisor ,RENT,48000,Verified,Mar-16,Charged Off,n,,debt_consolidation,Debt consolidation,980xx,WA,30.6,0.1367
493357,12000,12000, 60 months,16.55%,295.34,D,D2,CDA,RENT,75000,Source Verified,Dec-15,Fully Paid,n,,debt_consolidation,Debt consolidation,061xx,CT,16.98,0.1655
1923121,6000,6000, 36 months,13.06%,202.34,C,C1,Sergeant,MORTGAGE,106000,Source Verified,May-18,Current,n,,credit_card,Credit card refinancing,065xx,CT,17.4,0.1306
154336,14400,14400, 36 months,14.33%,494.47,C,C1,Arctic Glacier USA,MORTGAGE,55050,Verified,Apr-13,Charged Off,n,,debt_consolidation,Breathing Room,953xx,CA,19.03,0.1433
982504,14000,14000, 60 months,15.31%,335.35,C,C5,Team leader,RENT,33934,Source Verified,Feb-16,Charged Off,n,,debt_consolidation,Debt consolidation,283xx,NC,26.46,0.1531
768752,19000,19000, 60 months,12.69%,429.3,C,C2,Business Analyst,RENT,63000,Source Verified,Apr-15,Current,n,,debt_consolidation,Debt consolidation,852xx,AZ,18.86,0.1269
1876434,25000,25000, 60 months,14.03%,582.1,C,C2,RN,MORTGAGE,160000,Not Verified,Jun-18,Current,n,,debt_consolidation,Debt consolidation,973xx,OR,13.17,0.1403
1285182,5000,5000, 36 months,11.49%,164.86,B,B5,Network Engineer,MORTGAGE,91239,Not Verified,Nov-16,Fully Paid,n,,credit_card,Credit card refinancing,480xx,MI,12.96,0.1149
2061903,6800,6800, 36 months,11.06%,222.82,B,B3,production control,RENT,64000,Not Verified,Aug-18,Current,n,,credit_card,Credit card refinancing,088xx,NJ,26.18,0.1106
1132412,20000,20000, 60 months,19.99%,529.77,D,D4,Lieutenant,RENT,78000,Verified,Sep-16,Charged Off,n,,debt_consolidation,Debt consolidation,178xx,PA,32.51,0.1999
674493,25000,25000, 36 months,6.89%,770.68,A,A3,General Counsel,MORTGAGE,93000,Not Verified,Jul-15,Fully Paid,n,,debt_consolidation,Debt consolidation,342xx,FL,25.43,0.0689
1289663,24625,24625, 60 months,21.49%,673,D,D5,Data analyst,MORTGAGE,56000,Not Verified,Oct-16,Current,n,,debt_consolidation,Debt consolidation,550xx,MN,22.63,0.2149
1343231,4000,4000, 36 months,8.24%,125.79,B,B1,CLERK,RENT,75000,Not Verified,Mar-17,Fully Paid,n,,debt_consolidation,Debt consolidation,606xx,IL,7.55,0.0824
526614,12000,11750, 36 months,14.33%,412.06,C,C5,Management ,OWN,60000,Source Verified,Nov-15,Fully Paid,n,,other,Other,021xx,MA,18.16,0.1433
750359,6000,6000, 36 months,7.89%,187.72,A,A5,Laborer,RENT,28000,Source Verified,Jun-15,Fully Paid,n,,credit_card,Credit card refinancing,427xx,KY,4.63,0.0789
910733,8000,8000, 36 months,18.25%,290.23,D,D3,Technical Service ansd Sales,RENT,60000,Source Verified,Mar-16,Fully Paid,n,,debt_consolidation,Debt consolidation,927xx,CA,24.22,0.1825
1284276,15000,15000, 36 months,12.74%,503.54,C,C1,CEO,RENT,40000,Source Verified,Nov-16,In Grace Period,n,,credit_card,Credit card refinancing,787xx,TX,20.18,0.1274
38905,12000,3748.863589, 36 months,13.55%,203.76,D,D4,FSC Company,RENT,82000,Verified,Apr-08,Fully Paid,n,"My Dad was severly ill a couple of years ago and I fell into the credit card trap and they are gouging me.  I have already paid off Discover (29.9% interest!) with a prior Lending Club loan and now want to do Chase (almost as bad!).   I am employed as a programmer/consultant for a major Fortune 500 blue chip corporation and have been now for going on 13 years. Being in the financial area,  employment prospects are very steady, even with the recession, in that accounting systems are even more critical to be maintained and improved.  Thanks for your help and consideration in helping me get out of these traps that these big greedy incompetent banks have set. ",credit_card,Pay off Chase cards,606xx,IL,18.74,0.1355
1289970,11900,11900, 60 months,18.99%,308.63,D,D3,Attorney ,MORTGAGE,51000,Verified,Oct-16,Charged Off,n,,credit_card,Credit card refinancing,234xx,VA,28.52,0.1899
1220941,14400,14400, 36 months,24.74%,570.57,E,E3,Respiratory Care Assistant ,RENT,45000,Verified,Dec-16,Current,n,,debt_consolidation,Debt consolidation,968xx,HI,18.48,0.2474
1676282,14000,14000, 36 months,14.08%,479.04,C,C3,assembly,RENT,55000,Source Verified,Dec-17,Late (31-120 days),n,,debt_consolidation,Debt consolidation,453xx,OH,14.18,0.1408
779308,35000,35000, 60 months,18.25%,893.54,E,E1,Senior Police Officer,MORTGAGE,97000,Verified,Apr-15,Fully Paid,n,,debt_consolidation,Debt consolidation,773xx,TX,30.9,0.1825
10545,33950,33795.18341, 60 months,11.99%,755.03,B,B5,,RENT,50000,Verified,Jul-11,Charged Off,n,  Borrower added on 07/26/11 > never ever been late with a payment....just want to pay one bill and not 5 seperate ones and save money at the same time..thank you<br/>,credit_card,silver,295xx,SC,24.67,0.1199
2001290,20000,20000, 36 months,15.04%,693.7,C,C4,"Vice President, Human Resources",MORTGAGE,152000,Not Verified,Apr-18,Current,n,,debt_consolidation,Debt consolidation,750xx,TX,20.24,0.1504
1101179,24000,24000, 36 months,11.99%,797.03,C,C1,Director of Operations,RENT,83000,Verified,Apr-16,Current,n,,debt_consolidation,Debt consolidation,945xx,CA,26.98,0.1199
1391745,7025,7025, 36 months,26.24%,283.95,E,E5,Sales Associate/Key Holder,MORTGAGE,22000,Verified,Jan-17,Charged Off,n,,car,Car financing,308xx,GA,16.53,0.2624
1213860,12000,12000, 36 months,10.99%,392.81,B,B4,Recovery Room RN,OWN,55000,Not Verified,Jul-16,Current,n,,debt_consolidation,Debt consolidation,441xx,OH,27.3,0.1099
953407,20000,20000, 60 months,10.75%,432.36,B,B4,Manager,MORTGAGE,75000,Not Verified,Feb-16,Fully Paid,n,,debt_consolidation,Debt consolidation,781xx,TX,14.59,0.1075
