,X,loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,rate
77,540119,9000.0,9000.0,0,7.89%,281.58,0,4,Vice President,1,120000.0,Source Verified,Nov-15,Fully Paid,n,,1,Credit card refinancing,201xx,44,17.23,0.0789
78,1889338,40000.0,40000.0,0,12.13%,1331.06,1,9,"Assistant Director, Systems Protection",1,172000.0,Verified,Jun-18,Current,n,,2,Debt consolidation,356xx,1,21.02,0.1213
79,1691568,8000.0,8000.0,0,14.08%,273.74,2,12,Senior Tax Accountant,3,45000.0,Not Verified,Nov-17,Current,n,,2,Debt consolidation,951xx,4,14.24,0.1408
80,989950,2200.0,2200.0,0,12.88%,74.0,2,11,Resident Physician,1,48000.0,Verified,Jan-16,Fully Paid,n,,7,Medical expenses,337xx,9,26.83,0.1288
81,2026023,10000.0,10000.0,0,10.47%,324.89,1,6,Lead ,1,48000.0,Source Verified,Sep-18,Current,n,,2,Debt consolidation,605xx,13,20.13,0.1047
82,2007329,40000.0,40000.0,0,6.11%,1218.88,0,0,President,1,110000.0,Source Verified,Sep-18,Current,n,,1,Credit card refinancing,331xx,9,13.9,0.0611
83,1817296,12000.0,12000.0,0,16.02%,422.01,2,14,Server,3,32000.0,Source Verified,Feb-18,Current,n,,1,Credit card refinancing,982xx,46,24.72,0.1602
84,1233781,17000.0,17000.0,0,8.24%,534.61,1,5,Realtor/Landlord,2,95000.0,Not Verified,Dec-16,Current,n,,1,Credit card refinancing,462xx,14,10.9,0.0824
85,958212,5175.0,5175.0,0,21.18%,195.45,4,22,carpenter,3,36000.0,Verified,Feb-16,Charged Off,n,,2,Debt consolidation,221xx,44,30.37,0.2118
86,1426144,40000.0,40000.0,1,10.42%,858.18,1,7,Maintenance Technician,1,55000.0,Verified,Jun-17,Current,n,,2,Debt consolidation,295xx,39,18.35,0.1042
87,964469,10800.0,10800.0,1,14.46%,253.89,2,13,Locomotive Overhaul Manager,3,80000.0,Verified,Feb-16,Fully Paid,n,,0,Car financing,531xx,47,22.13,0.1446
88,290041,8500.0,8500.0,0,7.12%,262.93,0,2,Operation Mgr. Sr Construction Mgr.,1,140000.0,Not Verified,Oct-14,Fully Paid,n,,6,Major purchase,925xx,4,25.72,0.0712
89,1823659,10000.0,10000.0,0,7.35%,310.38,0,3,Internal Auditor,3,75000.0,Not Verified,Feb-18,Fully Paid,n,,2,Debt consolidation,914xx,4,7.97,0.0735
90,1685158,16000.0,16000.0,1,17.09%,398.42,3,15,Chemical Engineer,1,80000.0,Not Verified,Nov-17,Current,n,,1,Credit card refinancing,435xx,34,34.8,0.1709
91,1462924,5000.0,5000.0,0,12.62%,167.56,2,10,Client services representative,3,52000.0,Source Verified,May-17,Fully Paid,n,,2,Debt consolidation,071xx,30,26.01,0.1262
92,1974496,6000.0,6000.0,0,5.31%,180.67,0,0,Student Development Assistant,3,32684.0,Not Verified,Apr-18,Current,n,,2,Debt consolidation,787xx,42,7.34,0.0531
93,1482322,18000.0,18000.0,1,15.99%,437.63,2,14,Instructor,3,22000.0,Not Verified,May-17,Current,n,,2,Debt consolidation,980xx,46,30.71,0.1599
94,1204054,15000.0,15000.0,0,10.49%,487.47,1,7,,1,190000.0,Not Verified,Jul-16,Fully Paid,n,,1,Credit card refinancing,131xx,33,25.81,0.1049
95,1503687,8000.0,8000.0,0,15.99%,281.22,2,14,Telecommunications Maintainer II,1,86000.0,Verified,Apr-17,Fully Paid,n,,2,Debt consolidation,731xx,35,19.47,0.1599
96,1151995,35000.0,35000.0,0,18.99%,1282.79,3,17,"VP, IT Project Management",1,253000.0,Verified,Aug-16,Current,n,,1,Credit card refinancing,303xx,10,18.13,0.1899
97,997075,12000.0,12000.0,0,16.59%,425.39,3,16,Sr. Resolution Manager ,1,68000.0,Source Verified,Jan-16,Charged Off,n,,2,Debt consolidation,282xx,26,7.37,0.1659
98,958652,24000.0,24000.0,1,8.39%,491.13,1,5,Engineering Tech,1,130000.0,Not Verified,Feb-16,Fully Paid,n,,2,Debt consolidation,761xx,42,22.3,0.0839
99,1601735,35000.0,35000.0,1,13.59%,806.97,2,11,Property master ,2,120000.0,Verified,Aug-17,Current,n,,6,Major purchase,124xx,33,9.17,0.1359
100,863002,35000.0,35000.0,0,12.39%,1169.04,2,10,EVP Creative Marketing,1,200000.0,Source Verified,Jan-15,Fully Paid,n,,1,Credit card refinancing,900xx,4,7.78,0.1239
101,1875057,19000.0,19000.0,0,5.31%,572.1,0,0,Circuit Court Clerk,1,95000.0,Not Verified,Jun-18,Current,n,,2,Debt consolidation,373xx,41,12.8,0.0531
102,1610955,6000.0,6000.0,0,5.32%,180.69,0,0,Consultant,3,80000.0,Not Verified,Jul-17,Current,n,,2,Debt consolidation,229xx,44,19.1,0.0532
103,257231,28000.0,28000.0,1,14.99%,665.98,2,14,Account Executive,1,185000.0,Verified,Nov-14,Current,n,,2,Debt consolidation,080xx,30,9.13,0.1499
104,1060660,10000.0,10000.0,1,9.16%,208.37,1,6,Corrections Officer,1,72000.0,Source Verified,May-16,Current,n,,2,,486xx,21,27.55,0.0916
105,734559,25000.0,25000.0,1,9.99%,531.06,1,7,Superintendent,1,85000.0,Verified,Jun-15,Current,n,,2,Debt consolidation,322xx,9,9.16,0.0999
106,2118689,2000.0,2000.0,0,7.84%,62.53,0,3,Checker,2,76467.0,Not Verified,Jul-18,Fully Paid,n,,4,Home improvement,481xx,21,1.68,0.0784
107,876340,3600.0,3600.0,0,12.39%,120.25,2,10,Assistant Principal,1,75000.0,Not Verified,Jan-15,Charged Off,n,,2,Debt consolidation,280xx,26,15.86,0.1239
108,923747,2000.0,2000.0,0,13.67%,68.04,2,12,Maintenance supervisor ,3,48000.0,Verified,Mar-16,Charged Off,n,,2,Debt consolidation,980xx,46,30.6,0.1367
109,493357,12000.0,12000.0,1,16.55%,295.34,3,16,CDA,3,75000.0,Source Verified,Dec-15,Fully Paid,n,,2,Debt consolidation,061xx,6,16.98,0.1655
110,1923121,6000.0,6000.0,0,13.06%,202.34,2,10,Sergeant,1,106000.0,Source Verified,May-18,Current,n,,1,Credit card refinancing,065xx,6,17.4,0.1306
111,154336,14400.0,14400.0,0,14.33%,494.47,2,10,Arctic Glacier USA,1,55050.0,Verified,Apr-13,Charged Off,n,,2,Breathing Room,953xx,4,19.03,0.1433
112,982504,14000.0,14000.0,1,15.31%,335.35,2,14,Team leader,3,33934.0,Source Verified,Feb-16,Charged Off,n,,2,Debt consolidation,283xx,26,26.46,0.1531
113,768752,19000.0,19000.0,1,12.69%,429.3,2,11,Business Analyst,3,63000.0,Source Verified,Apr-15,Current,n,,2,Debt consolidation,852xx,3,18.86,0.1269
114,1876434,25000.0,25000.0,1,14.03%,582.1,2,11,RN,1,160000.0,Not Verified,Jun-18,Current,n,,2,Debt consolidation,973xx,36,13.17,0.1403
115,1285182,5000.0,5000.0,0,11.49%,164.86,1,9,Network Engineer,1,91239.0,Not Verified,Nov-16,Fully Paid,n,,1,Credit card refinancing,480xx,21,12.96,0.1149
116,2061903,6800.0,6800.0,0,11.06%,222.82,1,7,production control,3,64000.0,Not Verified,Aug-18,Current,n,,1,Credit card refinancing,088xx,30,26.18,0.1106
117,1132412,20000.0,20000.0,1,19.99%,529.77,3,18,Lieutenant,3,78000.0,Verified,Sep-16,Charged Off,n,,2,Debt consolidation,178xx,37,32.51,0.1999
118,674493,25000.0,25000.0,0,6.89%,770.68,0,2,General Counsel,1,93000.0,Not Verified,Jul-15,Fully Paid,n,,2,Debt consolidation,342xx,9,25.43,0.0689
119,1289663,24625.0,24625.0,1,21.49%,673.0,3,19,Data analyst,1,56000.0,Not Verified,Oct-16,Current,n,,2,Debt consolidation,550xx,22,22.63,0.2149
120,1343231,4000.0,4000.0,0,8.24%,125.79,1,5,CLERK,3,75000.0,Not Verified,Mar-17,Fully Paid,n,,2,Debt consolidation,606xx,13,7.55,0.0824
121,526614,12000.0,11750.0,0,14.33%,412.06,2,14,Management ,2,60000.0,Source Verified,Nov-15,Fully Paid,n,,9,Other,021xx,18,18.16,0.1433
122,750359,6000.0,6000.0,0,7.89%,187.72,0,4,Laborer,3,28000.0,Source Verified,Jun-15,Fully Paid,n,,1,Credit card refinancing,427xx,16,4.63,0.0789
123,910733,8000.0,8000.0,0,18.25%,290.23,3,17,Technical Service ansd Sales,3,60000.0,Source Verified,Mar-16,Fully Paid,n,,2,Debt consolidation,927xx,4,24.22,0.1825
124,1284276,15000.0,15000.0,0,12.74%,503.54,2,10,CEO,3,40000.0,Source Verified,Nov-16,In Grace Period,n,,1,Credit card refinancing,787xx,42,20.18,0.1274
125,38905,12000.0,3748.863589,0,13.55%,203.76,3,18,FSC Company,3,82000.0,Verified,Apr-08,Fully Paid,n,"My Dad was severly ill a couple of years ago and I fell into the credit card trap and they are gouging me.  I have already paid off Discover (29.9% interest!) with a prior Lending Club loan and now want to do Chase (almost as bad!).   I am employed as a programmer/consultant for a major Fortune 500 blue chip corporation and have been now for going on 13 years. Being in the financial area,  employment prospects are very steady, even with the recession, in that accounting systems are even more critical to be maintained and improved.  Thanks for your help and consideration in helping me get out of these traps that these big greedy incompetent banks have set. ",1,Pay off Chase cards,606xx,13,18.74,0.1355
126,1289970,11900.0,11900.0,1,18.99%,308.63,3,17,Attorney ,1,51000.0,Verified,Oct-16,Charged Off,n,,1,Credit card refinancing,234xx,44,28.52,0.1899
127,1220941,14400.0,14400.0,0,24.74%,570.57,4,22,Respiratory Care Assistant ,3,45000.0,Verified,Dec-16,Current,n,,2,Debt consolidation,968xx,11,18.48,0.2474
128,1676282,14000.0,14000.0,0,14.08%,479.04,2,12,assembly,3,55000.0,Source Verified,Dec-17,Late (31-120 days),n,,2,Debt consolidation,453xx,34,14.18,0.1408
129,779308,35000.0,35000.0,1,18.25%,893.54,4,20,Senior Police Officer,1,97000.0,Verified,Apr-15,Fully Paid,n,,2,Debt consolidation,773xx,42,30.9,0.1825
130,10545,33950.0,33795.183410000005,1,11.99%,755.03,1,9,,3,50000.0,Verified,Jul-11,Charged Off,n,  Borrower added on 07/26/11 > never ever been late with a payment....just want to pay one bill and not 5 seperate ones and save money at the same time..thank you<br/>,1,silver,295xx,39,24.67,0.1199
131,2001290,20000.0,20000.0,0,15.04%,693.7,2,13,"Vice President, Human Resources",1,152000.0,Not Verified,Apr-18,Current,n,,2,Debt consolidation,750xx,42,20.24,0.1504
132,1101179,24000.0,24000.0,0,11.99%,797.03,2,10,Director of Operations,3,83000.0,Verified,Apr-16,Current,n,,2,Debt consolidation,945xx,4,26.98,0.1199
133,1391745,7025.0,7025.0,0,26.24%,283.95,4,24,Sales Associate/Key Holder,1,22000.0,Verified,Jan-17,Charged Off,n,,0,Car financing,308xx,10,16.53,0.2624
134,1213860,12000.0,12000.0,0,10.99%,392.81,1,8,Recovery Room RN,2,55000.0,Not Verified,Jul-16,Current,n,,2,Debt consolidation,441xx,34,27.3,0.1099
135,953407,20000.0,20000.0,1,10.75%,432.36,1,8,Manager,1,75000.0,Not Verified,Feb-16,Fully Paid,n,,2,Debt consolidation,781xx,42,14.59,0.1075
136,1437018,10000.0,10000.0,0,9.44%,320.05,1,5,Social Worker,3,56000.0,Not Verified,Jun-17,Fully Paid,n,,1,Credit card refinancing,100xx,33,14.4,0.0944
137,2100553,15000.0,15000.0,1,10.08%,319.3,1,5,School Psychologist,1,66000.0,Source Verified,Jul-18,Current,n,,1,Credit card refinancing,380xx,41,18.95,0.1008
138,792423,12000.0,12000.0,1,20.49%,321.21,4,23,welder,3,45000.0,Verified,Apr-15,Current,n,,11,Business,140xx,33,23.15,0.2049
139,1984213,7200.0,7200.0,0,20.39%,269.02,3,18,Inventory Control Coordinator,3,53000.0,Source Verified,Apr-18,Current,n,,4,Home improvement,101xx,33,12.43,0.2039
140,1429117,17925.0,17925.0,0,9.44%,573.69,1,5,Appliance Specialist,1,39000.0,Not Verified,Jun-17,Current,n,,2,Debt consolidation,430xx,34,28.06,0.0944
141,1957790,8000.0,8000.0,0,6.71%,245.96,0,2,Supervisor,1,80000.0,Not Verified,May-18,Fully Paid,n,,1,Credit card refinancing,557xx,22,9.23,0.0671
142,449969,12000.0,12000.0,0,12.85%,403.47,1,8,Director Of Finance,1,80000.0,Source Verified,Jan-14,Fully Paid,n,,2,Debt consolidation,189xx,37,18.29,0.1285
143,370551,12000.0,12000.0,1,22.15%,332.46,4,24,Maintenance,1,56000.0,Not Verified,Jun-14,Fully Paid,n,,1,Credit card refinancing,490xx,21,15.65,0.2215
